Verifier,Detector+Descriptor,UIF-UB (Essential Mat),UIF-UB (Fundamental Matrix)
ngransac,dog_brief,,
ngransac,dog_surf,,
n3net,keynet_surf,,
n3net,keynet_siftpca,,
n3net,keynet_sift,,
n3net,keynet_brief,,
n3net,kaze,,
n3net,harrisnet_tfeat,,
n3net,harrisnet_surf,,
n3net,harrisnet_siftpca,,
n3net,harrisnet_sift,,
n3net,harrisnet_brief,,
n3net,harrislaplace_tfeat,,
n3net,harrislaplace_surf,,
n3net,harrislaplace_siftpca,,
n3net,harrislaplace_sift,,
n3net,harrislaplace_brief,,
n3net,harris_surf,,
n3net,glampoints_tfeat,,
mlesac,350,,
mlesac,keynet_siftpca,,
mlesac,brief,,
mlesac,glampoints_rootsift,,
mlesac,fast_siftpca,,
mlesac,fast_tfeat,,
mlesac,glampoints_brief,,
mlesac,glampoints_convopt,,
mlesac,glampoints_hardnet,,
mlesac,glampoints_openucn,,
mlesac,glampoints_sift,,
mlesac,fast_sift,,
mlesac,glampoints_siftnet,,
mlesac,glampoints_siftpca,,
mlesac,glampoints_surf,,
mlesac,glampoints_tfeat,,
mlesac,harris_brief,,
mlesac,harris_convopt,,
mlesac,fast_siftnet,,
mlesac,fast_openucn,,
mlesac,keynet_siftnet,,
mlesac,dog_openucn,,
mlesac,brisk,,
mlesac,contextdesc,,
mlesac,d2net,,
mlesac,dog_brief,,
mlesac,dog_convopt,,
mlesac,dog_hardnet,,
mlesac,dog_rootsift,,
mlesac,fast_hardnet,,
mlesac,dog_sift,,
mlesac,dog_siftnet,,
mlesac,dog_siftpca,,
mlesac,dog_surf,,
mlesac,dog_tfeat,,
mlesac,fast_brief,,
mlesac,harris_hardnet,,
mlesac,harris_openucn,,
mlesac,harris_rootsift,,
mlesac,harrisnet_tfeat,,
mlesac,harrisnet_openucn,,
mlesac,harrisnet_rootsift,,
mlesac,harrisnet_sift,,
mlesac,harrisnet_siftnet,,
mlesac,harrisnet_siftpca,,
mlesac,harrisnet_surf,,
mlesac,kaze,,
mlesac,harris_sift,,
mlesac,keynet_brief,,
mlesac,keynet_convopt,,
mlesac,keynet_hardnet,,
mlesac,keynet_openucn,,
mlesac,keynet_rootsift,,
mlesac,keynet_sift,,
mlesac,harrisnet_hardnet,,
mlesac,harrisnet_convopt,,
mlesac,harrisnet_brief,,
mlesac,harrislaplace_tfeat,,
mlesac,harrislaplace_surf,,
mlesac,harrislaplace_siftpca,,
mlesac,harrislaplace_siftnet,,
mlesac,harrislaplace_sift,,
mlesac,harrislaplace_rootsift,,
mlesac,harrislaplace_openucn,,
mlesac,harrislaplace_hardnet,,
mlesac,harrislaplace_convopt,,
mlesac,harrislaplace_brief,,
mlesac,harris_tfeat,,
mlesac,harris_surf,,
mlesac,harris_siftpca,,
mlesac,harris_siftnet,,
n3net,brief,,
